FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
European Union Seventh Framework Programme (FP7/2007-2013),46,PRA 2016,6.0,University of Tabriz,11.0,Abbvie,4.0,S. Bhunia,6.0
UK EPSRC,45,Consolidating Research Expertise and Resources on Cellular and Molecular Biotechnology at CEB/IBB,6.0,Department of Electrical Engineering,11.0,GSK,4.0,Gert de Cooman,6.0
United States Government,45,NAMD,6.0,Italian Ministry of University and Research (MIUR),11.0,NXP Semiconductors,4.0,Mario Kruger,6.0
"Ministry of Science, ICT",45,AFIRM,6.0,Australian National University,11.0,Sandia,4.0,Shuchao Pang,6.0
Polish Ministry of Science and Higher Education,45,Open Government Data for Business Service Model Proof on Whole Life Cycle Care,6.0,University of Granada,11.0,SilverCloud Health Ltd,4.0,Jaume Abella,6.0
Innovation Program of Shanghai Municipal Education Commission,45,GO FAM,6.0,Alzheimer's Disease Cooperative Study,11.0,Ostensjo Ltd.,4.0,Bharat Soni,6.0
Research Fund of State Key Laboratory of Synthetical Automation for Process Industries,44,UMLS,6.0,Queen Mary University of London,11.0,Telus Mobility,4.0,Bill Albritton,6.0
Greek national funds,44,PQCRYPTO,6.0,Case Western Reserve University,11.0,Kantar Health,4.0,Mauro Conti,6.0
U.S. Army Research Office,44,SSPNet,6.0,Research Committee of the University of Macau,11.0,Signal Hill Petroleum,4.0,Peter Achermann,6.0
"Science and Technology Planning Project of Guangdong Province, China",44,"Guangxi ""Bagui"" Teams for Innovation and Research",6.0,Konkuk University,11.0,Pfizer Canada,4.0,M. Last,6.0
Generalitat de Catalunya,43,ONR,6.0,Universite libre de Bruxelles,11.0,Qualcomm Wireless Reach,4.0,Yinghui Zhang,6.0
Air Force Research Laboratory,43,Design of Environments for Ageing,6.0,Bogazici University Research Fund,11.0,Galdakao-Usansolo Hospital,4.0,Marco Dorigo,6.0
US Department of Health and Human Services,43,GEODAS-REQ,6.0,Beijing University of Technology,11.0,Synopsys Corporation,4.0,G. L. Pappa,6.0
Instituto de Salud Carlos III,43,SPARX,6.0,University of Adelaide,11.0,Adobe Systems,4.0,P. Fiedler,6.0
Italian Ministry of Education,43,NIGMS,6.0,Lund University,11.0,Amgen Inc,4.0,Z. Chen,6.0
Grant-in-Aid for Scientific Research,43,Program for Changjiang Scholars,6.0,Research Committee at University of Macau,11.0,"Janssen Alzheimer Immunotherapy Research and Development, LLC",4.0,Steve Nyemba,6.0
European Union Seventh Framework Programme,43,CREST,6.0,Institute for Information & Communications Technology Promotion,10.0,Sananet Care Ltd.,4.0,B. Li,6.0
Netherlands Organization for Scientific Research (NWO),43,Excellent Graduate Student Innovation Program,5.0,Patient Centered Outcomes Research Institute,10.0,Associated Medical Supplies Co Ltd.,4.0,P. N. Suganthan,6.0
Natural Science Foundation of Shanghai,43,FAPEAM,5.0,MIT,10.0,Endo Metric Corporation,4.0,K. Ren,6.0
NLM,42,"Translational Imaging, Exploratory and Program Medicine",5.0,Electronics and Telecommunications Research Institute (ETRI),10.0,Mellanox Technologies,4.0,Choon Ki Ahn.,6.0
Anhui Provincial Natural Science Foundation,42,Machine Learning using QoE (Quality of Experience)),5.0,Royal Society University Research Fellowship,10.0,"Pfizer, Inc.",4.0,W. Li,6.0
National Institute of Health,42,CIBER Actions,5.0,Inha University Research Grant,10.0,Takeda,4.0,Muhammad Khurram Khan,6.0
National Center for Research Resources,42,MIMIC,5.0,Jordan University of Science and Technology,10.0,Avexa Pty Ltd,4.0,S. Li.,6.0
UK Engineering and Physical Sciences Research Council (EPSRC),42,SRC,5.0,Nagoya University,10.0,Virtech Ltd,4.0,Q. Ji,6.0
Natural Science Foundation of Hubei Province of China,42,NLM,5.0,Georgia State University,10.0,Cray Inc,4.0,Fiks,6.0
Royal Society,42,H2020 Project EUROBENCH,5.0,Texas A&M University,10.0,Catalan Broadcasting Corporation,4.0,David Kleinfeld,6.0
GRF,41,DIAdvisor,5.0,Turku University Hospital,10.0,Home Movies-Archivio Nazionale del Film di Famiglia,4.0,J. Liu.,6.0
UK Engineering and Physical Sciences Research Council,41,Variability Expedition,5.0,University of Malaya Research Grant,10.0,"Huawei Technologies Co., Ltd.",4.0,Smith,6.0
Spanish Ministry of Science and Technology,41,NLM office,5.0,Shanghai Jiao Tong University,10.0,Pfizer Incorporated,4.0,Wei Wang,6.0
Spanish Ministry of Education,41,FACEPE,5.0,"Nanyang Technological University Singapore, Singapore",10.0,Regione Sardegna,4.0,S. K. Pal,6.0
Hunan Provincial Natural Science Foundation of China,41,CRC 1119 CROSSING,5.0,Howard Hughes Medical Institute,10.0,Pfizer Inc,4.0,S. E. Shimony,6.0
Priority Academic Program Development of Jiangsu Higher Education Institutions (PAPD),41,EXA2GREEN,5.0,Max Planck Center for Visual Computing and Communication,10.0,"Mentor Graphics, Inc",4.0,Noguera,6.0
U.S. Army Research Laboratory,41,"UK High-End Computing Consortium for Biomolecular Simulation, HECBioSim",5.0,Research Grants of University of Macau,10.0,MEDA Pharma GmbH,4.0,Robert Ganian,6.0
Department of Energy,41,Proc,5.0,Faculty Research Cluster Program,10.0,MediaTek,4.0,Massimiliano Carrara,6.0
Natural Science Foundation of Hubei Province,41,CAROTID,5.0,Kuwait University,10.0,Johnson Controls,4.0,Eamonn Keogh,6.0
National Institute for Health Research (NIHR),41,ARL Cyber Security CRA,5.0,University of New South Wales,10.0,Huawei Technologies,4.0,R. Schnall,6.0
China National Funds for Distinguished Young Scientists,40,Grant-in-Aid for Scientific Research on Innovative Areas,5.0,NEC Laboratories of America,10.0,Paladin Labs Inc,4.0,Guillermina Lopez-Bendito,6.0
National Cancer Institute of the National Institutes of Health,40,IWT,5.0,Aalborg University,10.0,RZ Tienen,4.0,M. Zhou,6.0
Swedish Foundation for Strategic Research,40,ITIDA,5.0,College of Computer and Information Sciences,10.0,Microelectronics Advanced Research Corporation,4.0,Christos Faloutsos,5.0
Guangdong Natural Science Funds for Distinguished Young Scholar,40,USDA-ARS,5.0,University of Nottingham,10.0,MITRE Corporation,4.0,Phil Gooch,5.0
DOE,40,CompBioMed project,5.0,Curtin University,10.0,Toppan Printing Corporation,4.0,Adam Kelemen,5.0
UK Medical Research Council,40,Connected Health Early-stage researcher Support System (CHESS ITN),5.0,Deanship of Research,10.0,"IDx, LLC",4.0,Adam J. Schwarz,5.0
CNRS,40,SciTech - Science and Technology for Competitive and Sustainable Industries,5.0,Uppsala University,10.0,CEris,4.0,L. Benini,5.0
FONDECYT,40,Program for Shanghai Top Young Talents,5.0,University of Warwick,10.0,Digital Technology Center,4.0,Nikolay Grozev,5.0
European Community,40,CICAEET,5.0,University of London,10.0,Defond,4.0,Wei Liu,5.0
NNSF of China,39,"Initiative on Promotion of Supercomputing for Young or Women Researchers, Information Technology Center",5.0,IIT Kharagpur,10.0,LifeLines Neurodiagnostic Systems Inc.,4.0,Tanya Podchiyska,5.0
Strategic Priority Research Program of the Chinese Academy of Sciences,39,Junta de Andalucia,5.0,Regents of The University of California,10.0,Cochrane Airways Group,4.0,Q. Shen,5.0
National Science Foundation of China (NSFC),39,Machine Intelligence and Information Visualization Lab (MintViz),5.0,Loughborough University,10.0,Alberta Innovates-Technology Futures,4.0,A. Maran,5.0
Defense Advanced Research Projects Agency (DARPA),39,Big Data to Knowledge program,5.0,China University of Geosciences (Wuhan),10.0,National Healthcare Group,4.0,Shouhuai Xu,5.0
National Basic Research Program (973 Program) of China,39,Microsoft Azure Research Award,5.0,University of Amsterdam,10.0,Quanta,4.0,Guido Giunti,5.0
"National Science Centre, Poland",39,ROSE Lab,5.0,University of Liverpool,10.0,NextMove Software Ltd,3.0,Dinesh Manocha,5.0
Postdoctoral Science Foundation of China,39,MATLAB,5.0,Innovation Fund of Harbin Institute of Technology,10.0,Elsevier,3.0,Xiaofang Zhang,5.0
Fundamental Research Funds for Central Universities,38,"Operational Program ""Competitiveness and Entrepreneurship",5.0,Faculty of Science,10.0,"NetApp,",3.0,J. Gao,5.0
China,38,Rapid-Rich Object Search (ROSE) Lab,5.0,Program for New Century Excellent Talents in University of China,10.0,Wintershall,3.0,Ernesto Jimenez-Ruiz,5.0
TUBITAK,38,SIX Center,5.0,Ohio State University,10.0,Prompsit Language Engineering,3.0,W. Zhou,5.0
Natural Science Foundation of Fujian Province of China,38,100 Talents Program,5.0,University of Iowa,10.0,Universita degli Studi,3.0,Yong Xu.,5.0
Foundation for Innovative Research Groups,38,ODNI,5.0,Institute of Computing Technology,10.0,"Royal Medical Services, Jordan",3.0,Dr Turer,5.0
European Community's Seventh Framework Programme (FP7/2007-2013),38,Omics2TreatID,5.0,Institute for Clinical Evaluative Sciences (ICES),10.0,Chunghwa Telecom,3.0,Chen,5.0
Natural Science Foundation of Jiangxi Province,38,MITACS,5.0,Institut Universitaire de France,10.0,Samsung Eletronica da Amazonia Ltda.,3.0,R. A. Hess,5.0
National High Technology Research and Development Program,38,MANSiD Research Center,5.0,Chongqing University,10.0,Deutsche Telekom Stiftung,3.0,C. Tang,5.0
Polish National Science Center,38,CHEMCLOUDCOMPUTING,5.0,Hannover Medical School,10.0,Telus Communications Inc,3.0,Nidhi Singh,5.0
Program for New Century Excellent Talents in University,37,Award for Excellence in Medication Use Safety,5.0,Nanjing University of Science and Technology,10.0,AMD,3.0,W. Schuller,5.0
KAKENHI,37,"Grant-in-Aid for Scientific Research on Innovative Areas ""Molecular Robotics",5.0,Peking University,9.0,"Amplicode, Inc",3.0,Luca Cherubin,5.0
CONACyT,37,bioCADDIE,5.0,"Masaryk University, Czech Republic",9.0,Intel Software and Services Group,3.0,Tingwen Huang,5.0
Basque Government,37,SAP HANA,5.0,University Grants Commission,9.0,AEA,3.0,M. Martins,5.0
Singapore Ministry of Education,37,KERNELS,5.0,The University of Queensland,9.0,LG,3.0,Y. Liu,5.0
National Institute of Biomedical Imaging and Bioengineering,37,STRIDE,5.0,CNPq,9.0,BHP Billiton,3.0,Rui Li,5.0
Macau Science and Technology Development Fund,37,MIUR,5.0,Nanjing University of Aeronautics and Astronautics,9.0,Renault Group,3.0,Giuseppe Persiano,5.0
Natural Science Foundation of the Jiangsu Higher Education Institutions of China,37,Early Career Development Award of the State Key Laboratory of Management and Control for Complex Systems,5.0,Durham University,9.0,BoringSSL,3.0,Juana Lopez Redondo,5.0
Flemish Government,36,International Campus on Safety and Intermodality in Transportation,5.0,Hasselt University,9.0,"Macronix International Company, Ltd.",3.0,Peter Mueller,5.0
Catalan Government,36,MRA Cluster Green Software,5.0,University of Manchester,9.0,Xylem Technologies,3.0,Peter Tay,5.0
National Institute on Drug Abuse,36,Basic Research Program,5.0,"Italian Ministry for University and Research (MIUR), Rome, Italy",9.0,"Los Alamos National Security, LLC",3.0,Marleen de Bruijne,5.0
Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPq),36,Ontario Graduate Scholarship,5.0,University of Texas at Austin,9.0,Northrop Grumman Aerospace Systems,3.0,Rui Rabico,5.0
Shanghai Pujiang Program,36,MicroLearn: Micropower Deep Learning,5.0,University of Luxembourg,9.0,"BioClinica, Inc.",3.0,Begona Fernandez,5.0
Government of India,36,TSUBAME Encouragement Program for Young/Female Users,5.0,The University of Tokyo,9.0,Epic Systems Corp.,3.0,Chang,5.0
Fok Ying Tung Education Foundation,36,VESTA,5.0,University of Graz,9.0,Tata Consultancy Services (TCS),3.0,B. Jaumard,5.0
Deanship of Scientific Research (DSR),35,PSO Algorithm with Multi-Learning Frameworks for Application in Image Segmentation,5.0,Beijing University of Posts and Telecommunications),9.0,Wipro Limited,3.0,Lynn Rudd,5.0
National Key Technology R&D Program of China,35,INESC-ID,5.0,University of Jyvaskyla,9.0,DFG SPP 1166 BioNoCo,3.0,Alexander Medvedev,5.0
Hubei Provincial Natural Science Foundation of China,35,Data61,5.0,North China University of Technology,9.0,Lucy Software,3.0,Mark Harman,5.0
Zhejiang Provincial Natural Science Foundation,35,TUBITAK,5.0,Yonsei University,9.0,Cypress Semiconductor Corporation,3.0,Y. Xie,5.0
973 Program,35,Improving Patient Safety conference,5.0,"Nankai University, Tianjin",9.0,Softhouse Consulting Baltic,3.0,H. Khotimah,5.0
National High-Tech Research and Development Program of China,35,CONSOLIDER INGENIO 2010 CSD2007-0004,5.0,UC Irvine,9.0,Associazione Italiana Ricerca sul Cancro,3.0,W. Hipel,5.0
National Science Council,35,Key Laboratory of Integrated Automation for the Process Industry,5.0,Hanyang University,9.0,Qualcomm Research,3.0,Vladimir Stankovic,5.0
Shandong Provincial Natural Science Foundation,35,Critical Systems and Data-Driven Technology,5.0,Ferdowsi University of Mashhad,9.0,Shifa International Hospital,3.0,A. Madeira,5.0
National Science Fund for Distinguished Young Scholars,35,Young Investigator Grant Award,5.0,University of Gothenburg,9.0,"GE Healthcare; Innogenetics, N.V.",3.0,G. Xu,5.0
Korea government,35,University Research Grants Program (URGP),5.0,Queensland University of Technology,9.0,OpenEye Scientific Software Inc.,3.0,Lijun Chang,5.0
National Library of Medicine (NLM),35,NIST,5.0,Simon Fraser University,9.0,Boeing,3.0,M. Kim,5.0
Hong Kong RGC,34,Development of AR-based Surgery Toolkit and Applications,5.0,Renmin University of China,9.0,Industrialization and Wireless Communications Technology,3.0,Y. Xu,5.0
China Postdoctoral Science Foundation Funded Project,34,Ramon y Cajal program,5.0,UCL,9.0,Rolls-Royce,3.0,Guo,5.0
CIHR,34,IMPART,5.0,University of Trento,9.0,Transferencia e Innovacion,3.0,H. Li,5.0
"Shandong Provincial Natural Science Foundation, China",34,UNESCO Chair in Data Privacy,5.0,Indiana University,9.0,Docomo,3.0,Pieter Peers,5.0
"Spanish Ministry of Economy, Industry and Competitiveness",34,Consolider Program,5.0,"University Grants Committee, Hong Kong",9.0,British Telecom,3.0,Graciela Navarro,5.0
"Ministry of Higher Education, Malaysia",34,IT4Innovations excellence in science-LQ1602,5.0,Xi'an Jiaotong University,9.0,Ninja Theory Ltd,3.0,J. Qiu,5.0
COST,34,Era-Net NEURON TRANSALC project,5.0,Northeast University,9.0,Proctor & Gamble Company,3.0,Olivier Bournez,5.0
Science and Technology Program of Guangzhou,34,I.3 Innovation,5.0,Graz University of Technology,9.0,Yahoo,3.0,Lee,5.0
Doctoral Program of Higher Education of China,34,EPA,5.0,Concordia University,9.0,XiTrust Secure Technologies,3.0,M. Lin,5.0
National Center for Advancing Translational Sciences (NCATS),34,IEEE,5.0,Research Committee of University of Macau,9.0,Axis Communications,3.0,Gordon,5.0
Korea government (MEST),33,Grid'5000,5.0,Cornell University,9.0,"Intel Corporation,",3.0,Qi Sun,5.0
Natural Science Foundation of Liaoning Province,33,GREDOS,5.0,Fundamental Research Funds for the Southeast University,9.0,Samsung Research Fund,3.0,Ying Sun,5.0
Alzheimer's Disease Neuroimaging Initiative (ADNI),33,CIFAR,5.0,Hangzhou Dianzi University,8.0,DLM,3.0,Andreja Kovac,5.0
Beijing Higher Education Young Elite Teacher Project,33,Interactive Mechanism of the Joint Distraction and Hinge Alignment for the Arthrodiatasis Fixator,5.0,University of Tsukuba,8.0,NEMO,3.0,Yuval Shahar,5.0
FP7,33,Methods for Discrete Structures,5.0,"Max Planck Institute for Human Development, Berlin, Germany",8.0,Volvo Car Corporation,3.0,Y. Cui,5.0
Singapore National Research Foundation,33,fromtheSwedishResearchCouncil,5.0,Janos Bolyai Research Scholarship of the Hungarian Academy of Sciences,8.0,Ruixue Wang,3.0,Jesus Pacheco,5.0
National Cryptography Development Fund,33,NICE,5.0,Macquarie University,8.0,VirusTotal,3.0,C. Cao,5.0
Chinese Academy of Sciences,33,RALF3,5.0,Minjiang University,8.0,ExxonMobil Upstream Research Company,3.0,Mariangiola Dezani,5.0
European Union's Horizon 2020 Research and Innovation Programme,33,Naval Research Laboratory,5.0,Institute for Collaborative Biotechnologies,8.0,Imagination Technologies,3.0,Debargha Mukherjee,5.0
AHRQ,33,ARO,5.0,Icahn School of Medicine at Mount Sinai,8.0,Shell,3.0,Sen-Ching Samson Cheung,5.0
Shenzhen Peacock Plan,32,INRIA ALADDIN,5.0,Faculty Research Grant of Hong Kong Baptist University,8.0,Hessian Telemedia Technology and Competence Center,3.0,Wei Chen,5.0
National High-tech R&D Program of China,32,ABC4DE project,5.0,Meritocracy Research Funds of China West Normal University,8.0,Innoviris,3.0,Jhih-Bin Guo,5.0
Robert Wood Johnson Foundation,32,IEEE INFOCOM 2016,5.0,Alexander von Humboldt Foundation,8.0,Reverso-Softissimo,3.0,P. Radeva,5.0
Thailand Research Fund,32,SYNERGASIA,5.0,Shanghai Maritime University,8.0,Raytheon,3.0,A. Avogaro,5.0
China 111 Project,32,"Dynamical systems, control and optimization",5.0,Johns Hopkins Bloomberg School of Public Health,8.0,"Lilly Endowment, Inc.",3.0,L. Cao,5.0
MRC,32,ARCHER,5.0,Islamic Azad University,8.0,Hyundai Heavy Industries,3.0,H. Liu,5.0
Australian Research Council Discovery,32,Juan de la Cierva,5.0,KTH,8.0,"Illumina, Inc",3.0,Hongliang Ren,5.0
Japan Society for the Promotion of Science (JSPS),32,Sim4Gest,5.0,Yonsei University College of Medicine,8.0,"Seagate, Veritas",3.0,Y. Lee,5.0
Science Foundation Ireland (SFI),32,iMinds,5.0,University of California,8.0,Temasek Laboratories,3.0,Meaghan Bowthorpe,5.0
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),32,SMARTER,5.0,National Cancer Institute,8.0,Siemens AG,3.0,M. C. Wright,5.0
French National Research Agency,32,MICINN,5.0,Marshfield Clinic Research Foundation,8.0,"Sony Mobile Communications,",3.0,Ling Shao,5.0
